70,Afghanistan
96,Albania
165,Algeria
49,American Samoa
55,Andorra
54,Angola
34,Anguilla
85,Antarctica
39,Argentina
178,Aruba
15,Australia
53,Austria
166,Azerbaijan
33,Bahamas
43,Bahrain
69,Bangladesh
131,Barbados
181,Belarus
14,Belgium
46,Belize
31,Benin
3,Bermuda
17,Bhutan
159,Bolivia
44,Botswana
6,Brazil
194,Bulgaria
187,Burkina Faso
114,Burundi
164,Cambodia
45,Cameroon
113,Canada
51,Cape Verde
23,Chile
88,China
27,Colombia
123,Comoros
133,Congo
192,Cook Islands
147,Costa Rica
47,Côte d'Ivoire
191,Croatia
161,Cuba
56,Cyprus
179,Czech Republic
60,Denmark
12,Djibouti
48,Dominica
146,Ecuador
183,Egypt
105,Eire
117,El Salvador
137,Eritrea
115,Estonia
132,Ethiopia
125,Falklands
190,Fiji
182,Finland
120,France
108,French Guiana
86,Gabon
38,Gambia
104,Georgia
144,Germany
189,Ghana
100,Gibraltar
142,Greece
145,Greenland
99,Grenada
193,Guadeloupe
102,Guam
154,Guatemala
18,Guernsey
188,Guinea
28,Guinea-Bissau
1,Guyana
138,Haiti
202,Honduras
156,Hong Kong
118,Hungary
201,Iceland
160,India
66,Indonesia
74,Iran
130,Iraq
59,Isle of Man
58,Israel
151,Italy
177,Jamaica
119,Japan
50,Jersey
163,Jordan
153,Kazakhstan
128,Kenya
61,Kiribati
169,Kuwait
10,Kyrgyzstan
93,Latvia
62,Lebanon
94,Lesotho
139,Liberia
103,Libya
20,Liechtenstein
112,Lithuania
71,Luxembourg
140,Macao
36,Macedonia
19,Madagascar
8,Malawi
136,Malaysia
92,Malta
9,Malvinas
174,Martinique
81,Mauritania
68,Mauritius
25,Mayotte
90,Mexico
89,Micronesia
78,Moldova
67,Monaco
98,Mongolia
26,Montenegro
148,Montserrat
109,Morocco
129,Mozambique
22,Myanmar
7,Namibia
79,Nauru
91,Nepal
168,Netherlands
41,New Caledonia
172,New Zealand
42,Nicaragua
186,Niger
143,Nigeria
5,Niue
35,North Korea
162,Norway
158,Oman
40,Pakistan
30,Palau
110,Panama
82,Paraguay
0,Peru
150,Philippines
32,Pitcairn
167,Poland
111,Portugal
73,Puerto Rico
180,Qatar
84,Réunion
152,Romania
80,Russia
124,Rwanda
126,Saint Helena
200,Saint Lucia
134,Samoa
13,San Marino
29,Saudi Arabia
52,Senegal
197,Serbia
135,Seychelles
72,Sierra Leone
195,Singapore
196,Slovakia
107,Slovenia
170,Somalia
176,South Africa
116,South Georgia
106,South Korea
184,Sri Lanka
155,Sudan
21,Suriname
2,Swaziland
157,Sweden
101,Switzerland
171,Syria
83,Taiwan
75,Tajikistan
16,Tanzania
198,Thailand
97,Timor-Leste
76,Togo
95,Tonga
149,Trinidad
173,Tunisia
87,Turkey
64,Tuvalu
77,Uganda
63,Ukraine
37,United Kingdom
11,United States
65,Uruguay
127,Uzbekistan
24,Vanuatu
122,Vatican City
185,Venezuela
199,Vietnam
4,Virgin Islands
141,Western Sahara
175,Yemen
121,Zambia
57,Zimbabwe
